stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,9,1st Downs,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
thirdDownEff,1-15,3rd down efficiency,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
fourthDownEff,1-1,4th down efficiency,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
totalYards,78,Total Yards,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
netPassingYards,31,Passing,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
completionAttempts,5-19,Comp-Att,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
yardsPerPass,1.6,Yards per pass,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
rushingYards,47,Rushing,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
rushingAttempts,40,Rushing Attempts,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
yardsPerRushAttempt,1.2,Yards per rush,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
totalPenaltiesYards,7-37,Penalties,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
turnovers,0,Turnovers,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
fumblesLost,0,Fumbles lost,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
interceptions,0,Interceptions thrown,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
possessionTime,31:45,Possession,2466,s:20~l:23~t:2466,northwestern-state-demons,Northwestern State,Demons,NWST,Northwestern State Demons,Demons,492F91,ed6118,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,400868876
firstDowns,23,1st Downs,239,s:20~l:23~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Bears,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,400868876
thirdDownEff,7-15,3rd down efficiency,239,s:20~l:23~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Bears,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,400868876
