stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,12,1st Downs,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
thirdDownEff,3-14,3rd down efficiency,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
fourthDownEff,2-2,4th down efficiency,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
totalYards,243,Total Yards,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
netPassingYards,183,Passing,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
completionAttempts,18-30,Comp-Att,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
yardsPerPass,5.2,Yards per pass,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
rushingYards,88,Rushing,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
rushingAttempts,26,Rushing Attempts,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
yardsPerRushAttempt,3.4,Yards per rush,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
totalPenaltiesYards,6-35,Penalties,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
turnovers,0,Turnovers,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
fumblesLost,0,Fumbles lost,302,s:20~l:23~t:302,uc-davis-aggies,UC Davis,Aggies,UCD,UC Davis Aggies,Aggies,002855,c3c4c6,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,312440009
