stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,17,1st Downs,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
thirdDownEff,2-17,3rd down efficiency,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
fourthDownEff,2-4,4th down efficiency,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
totalYards,351,Total Yards,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
netPassingYards,207,Passing,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
completionAttempts,23-36,Comp-Att,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
yardsPerPass,5.8,Yards per pass,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
rushingYards,144,Rushing,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
rushingAttempts,45,Rushing Attempts,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
yardsPerRushAttempt,3.2,Yards per rush,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
totalPenaltiesYards,3-23,Penalties,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
turnovers,2,Turnovers,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
fumblesLost,2,Fumbles lost,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
interceptions,0,Interceptions thrown,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
possessionTime,32:54,Possession,218,s:20~l:23~t:218,temple-owls,Temple,Owls,TEM,Temple Owls,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,400547640
firstDowns,13,1st Downs,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
thirdDownEff,3-14,3rd down efficiency,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
fourthDownEff,0-1,4th down efficiency,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
totalYards,278,Total Yards,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
netPassingYards,224,Passing,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
completionAttempts,16-34,Comp-Att,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
yardsPerPass,6.6,Yards per pass,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
rushingYards,54,Rushing,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
rushingAttempts,29,Rushing Attempts,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
yardsPerRushAttempt,1.9,Yards per rush,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
totalPenaltiesYards,7-66,Penalties,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
turnovers,7,Turnovers,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
fumblesLost,4,Fumbles lost,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
interceptions,3,Interceptions thrown,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
possessionTime,30:57,Possession,238,s:20~l:23~t:238,vanderbilt-commodores,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,400547640
firstDowns,27,1st Downs,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
thirdDownEff,5-13,3rd down efficiency,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
fourthDownEff,1-1,4th down efficiency,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
totalYards,513,Total Yards,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
netPassingYards,308,Passing,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
completionAttempts,28-36,Comp-Att,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
yardsPerPass,8.6,Yards per pass,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
rushingYards,205,Rushing,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
rushingAttempts,37,Rushing Attempts,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
yardsPerRushAttempt,5.5,Yards per rush,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
totalPenaltiesYards,15-150,Penalties,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
turnovers,2,Turnovers,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
fumblesLost,2,Fumbles lost,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
interceptions,0,Interceptions thrown,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
possessionTime,26:28,Possession,252,s:20~l:23~t:252,byu-cougars,BYU,Cougars,BYU,BYU Cougars,Cougars,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,400547641
firstDowns,23,1st Downs,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
thirdDownEff,8-17,3rd down efficiency,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
fourthDownEff,1-4,4th down efficiency,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
totalYards,355,Total Yards,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
netPassingYards,284,Passing,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
completionAttempts,25-48,Comp-Att,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
yardsPerPass,5.9,Yards per pass,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
rushingYards,71,Rushing,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
rushingAttempts,31,Rushing Attempts,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
yardsPerRushAttempt,2.3,Yards per rush,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
totalPenaltiesYards,8-90,Penalties,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
turnovers,2,Turnovers,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
fumblesLost,1,Fumbles lost,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
interceptions,1,Interceptions thrown,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
possessionTime,33:32,Possession,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,400547641
firstDowns,24,1st Downs,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
thirdDownEff,10-18,3rd down efficiency,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
fourthDownEff,1-2,4th down efficiency,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
totalYards,511,Total Yards,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
netPassingYards,454,Passing,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
completionAttempts,32-47,Comp-Att,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
yardsPerPass,9.7,Yards per pass,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
rushingYards,57,Rushing,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
rushingAttempts,28,Rushing Attempts,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
yardsPerRushAttempt,2.0,Yards per rush,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
totalPenaltiesYards,9-90,Penalties,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
turnovers,3,Turnovers,213,s:20~l:23~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,400547642
