stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,29,1st Downs,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
thirdDownEff,5-13,3rd down efficiency,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
fourthDownEff,0-1,4th down efficiency,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
totalYards,490,Total Yards,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
netPassingYards,415,Passing,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
completionAttempts,34-54,Comp-Att,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
yardsPerPass,7.5,Yards per pass,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
rushingYards,86,Rushing,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
rushingAttempts,28,Rushing Attempts,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
yardsPerRushAttempt,3.1,Yards per rush,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
totalPenaltiesYards,12-100,Penalties,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
turnovers,3,Turnovers,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
fumblesLost,1,Fumbles lost,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
interceptions,2,Interceptions thrown,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
possessionTime,17:24,Possession,204,s:20~l:23~t:204,oregon-state-beavers,Oregon State,Beavers,ORST,Oregon State Beavers,Beavers,c34500,dea076,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,282410024
firstDowns,18,1st Downs,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
thirdDownEff,4-13,3rd down efficiency,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
fourthDownEff,1-1,4th down efficiency,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
totalYards,301,Total Yards,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
netPassingYards,100,Passing,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
completionAttempts,10-17,Comp-Att,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
yardsPerPass,5.4,Yards per pass,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
rushingYards,210,Rushing,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
rushingAttempts,48,Rushing Attempts,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
yardsPerRushAttempt,4.4,Yards per rush,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
totalPenaltiesYards,8-82,Penalties,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
turnovers,0,Turnovers,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
fumblesLost,0,Fumbles lost,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
interceptions,0,Interceptions thrown,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
possessionTime,18:33,Possession,24,s:20~l:23~t:24,stanford-cardinal,Stanford,Cardinal,STAN,Stanford Cardinal,Cardinal,A80532,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,282410024
firstDowns,13,1st Downs,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
thirdDownEff,6-14,3rd down efficiency,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
fourthDownEff,0-1,4th down efficiency,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
totalYards,170,Total Yards,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
netPassingYards,130,Passing,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
completionAttempts,17-28,Comp-Att,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
yardsPerPass,4.6,Yards per pass,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
rushingYards,40,Rushing,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
rushingAttempts,28,Rushing Attempts,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
yardsPerRushAttempt,1.4,Yards per rush,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
totalPenaltiesYards,8-70,Penalties,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
turnovers,3,Turnovers,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
fumblesLost,1,Fumbles lost,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
interceptions,2,Interceptions thrown,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
possessionTime,17:23,Possession,2275,s:20~l:23~t:2275,hofstra-pride,Hofstra,Pride,HOF,Hofstra Pride,Pride,27297c,f6c934,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,282410041
firstDowns,27,1st Downs,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
thirdDownEff,5-10,3rd down efficiency,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
fourthDownEff,0-0,4th down efficiency,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
totalYards,451,Total Yards,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
netPassingYards,233,Passing,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
completionAttempts,18-30,Comp-Att,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
yardsPerPass,7.8,Yards per pass,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
rushingYards,218,Rushing,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
rushingAttempts,43,Rushing Attempts,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
yardsPerRushAttempt,5.1,Yards per rush,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
totalPenaltiesYards,7-70,Penalties,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
turnovers,5,Turnovers,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
fumblesLost,2,Fumbles lost,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
interceptions,3,Interceptions thrown,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
possessionTime,19:17,Possession,41,s:20~l:23~t:41,connecticut-huskies,Connecticut,Huskies,CONN,Connecticut Huskies,Huskies,001d40,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,282410041
firstDowns,15,1st Downs,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
thirdDownEff,8-15,3rd down efficiency,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
fourthDownEff,0-1,4th down efficiency,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
totalYards,258,Total Yards,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
netPassingYards,136,Passing,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
completionAttempts,22-37,Comp-Att,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
yardsPerPass,3.7,Yards per pass,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
rushingYards,122,Rushing,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
rushingAttempts,31,Rushing Attempts,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
yardsPerRushAttempt,3.9,Yards per rush,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
totalPenaltiesYards,4-40,Penalties,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
turnovers,4,Turnovers,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
fumblesLost,2,Fumbles lost,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
interceptions,2,Interceptions thrown,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
possessionTime,18:17,Possession,55,s:20~l:23~t:55,jacksonville-state-gamecocks,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,282410059
firstDowns,19,1st Downs,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
thirdDownEff,6-12,3rd down efficiency,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
fourthDownEff,1-2,4th down efficiency,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
totalYards,484,Total Yards,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
netPassingYards,140,Passing,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
completionAttempts,8-15,Comp-Att,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
yardsPerPass,9.0,Yards per pass,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
rushingYards,349,Rushing,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
rushingAttempts,46,Rushing Attempts,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
yardsPerRushAttempt,7.6,Yards per rush,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
totalPenaltiesYards,6-70,Penalties,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
turnovers,2,Turnovers,59,s:20~l:23~t:59,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Yellow Jackets,00223e,002c56,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,282410059
