stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,14,1st Downs,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
thirdDownEff,5-15,3rd down efficiency,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
fourthDownEff,1-1,4th down efficiency,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
totalYards,317,Total Yards,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
netPassingYards,183,Passing,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
completionAttempts,13-24,Comp-Att,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
yardsPerPass,7.6,Yards per pass,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
rushingYards,134,Rushing,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
rushingAttempts,40,Rushing Attempts,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
yardsPerRushAttempt,3.4,Yards per rush,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
totalPenaltiesYards,5-35,Penalties,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
turnovers,0,Turnovers,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
fumblesLost,0,Fumbles lost,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
interceptions,0,Interceptions thrown,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
possessionTime,33:45,Possession,253,s:20~l:23~t:253,southern-utah-thunderbirds,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Thunderbirds,d10000,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,332410006
firstDowns,16,1st Downs,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
thirdDownEff,5-14,3rd down efficiency,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
fourthDownEff,0-0,4th down efficiency,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
totalYards,335,Total Yards,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
netPassingYards,148,Passing,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
completionAttempts,18-28,Comp-Att,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
yardsPerPass,5.3,Yards per pass,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
rushingYards,187,Rushing,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
rushingAttempts,34,Rushing Attempts,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
yardsPerRushAttempt,5.5,Yards per rush,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
totalPenaltiesYards,7-60,Penalties,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
turnovers,1,Turnovers,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
fumblesLost,0,Fumbles lost,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
interceptions,1,Interceptions thrown,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
possessionTime,26:15,Possession,6,s:20~l:23~t:6,south-alabama-jaguars,South Alabama,Jaguars,USA,South Alabama Jaguars,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,332410006
firstDowns,18,1st Downs,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
thirdDownEff,8-21,3rd down efficiency,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
fourthDownEff,2-4,4th down efficiency,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
totalYards,278,Total Yards,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
netPassingYards,192,Passing,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
completionAttempts,23-40,Comp-Att,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
yardsPerPass,4.8,Yards per pass,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
rushingYards,86,Rushing,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
rushingAttempts,39,Rushing Attempts,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
yardsPerRushAttempt,2.2,Yards per rush,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
totalPenaltiesYards,8-45,Penalties,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
turnovers,2,Turnovers,16,s:20~l:23~t:16,sacramento-state-hornets,Sacramento State,Hornets,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,332410023
