id,uid,date,attendance,time_valid,neutral_site,conference_competition,play_by_play_available,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,week,groups_id,groups_name,groups_short_name,groups_is_conference
401520294,s:20~l:23~e:401520294~c:401520294,2023-10-04T04:00Z,0,False,False,True,False,False,2023-10-04T04:00Z,,,1,STD,3725,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,30788.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/4 - TBD,TBD,4,2393,s:20~l:23~t:2393,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,Blue Raiders,006db6,ffffff,True,3725,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,12,0,,55,s:20~l:23~t:55,Jacksonville State,Gamecocks,JVST,Jacksonville State Gamecocks,Gamecocks,b50500,b5b7ba,True,3662,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,12,0,,401520294,2023,2,6,12,Conference USA,C-USA,True
401520297,s:20~l:23~e:401520297~c:401520297,2023-10-04T04:00Z,0,False,False,True,False,False,2023-10-04T04:00Z,,,1,STD,3601,Aggie Memorial Stadium,Las Cruces,NM,28853.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/4 - TBD,TBD,4,166,s:20~l:23~t:166,New Mexico State,Aggies,NMSU,New Mexico State Aggies,Aggies,891216,000000,True,3601,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,12,0,,2229,s:20~l:23~t:2229,Florida International,Panthers,FIU,Florida International Panthers,Panthers,001538,c5960c,True,218,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,12,0,,401520297,2023,2,6,12,Conference USA,C-USA,True
401520295,s:20~l:23~e:401520295~c:401520295,2023-10-05T08:00Z,0,False,False,True,False,False,2023-10-05T08:00Z,,,1,STD,3776,Joe Aillet Stadium,Ruston,LA,28562.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/5 - TBD,TBD,4,2348,s:20~l:23~t:2348,Louisiana Tech,Bulldogs,LT,Louisiana Tech Bulldogs,Bulldogs,002d65,d3313a,True,3776,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,12,0,,98,s:20~l:23~t:98,Western Kentucky,Hilltoppers,WKU,Western Kentucky Hilltoppers,Hilltoppers,F32026,b3b5b8,True,3796,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,12,0,,401520295,2023,2,6,12,Conference USA,C-USA,True
401520296,s:20~l:23~e:401520296~c:401520296,2023-10-05T08:00Z,0,False,False,True,False,False,2023-10-05T08:00Z,,,1,STD,3992,Williams Stadium (VA),Lynchburg,VA,25000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/5 - TBD,TBD,4,2335,s:20~l:23~t:2335,Liberty,Flames,LIB,Liberty Flames,Flames,071740,a61f21,True,3992,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,12,0,,2534,s:20~l:23~t:2534,Sam Houston,Bearkats,SHSU,Sam Houston Bearkats,Bearkats,fe5000,000000,True,3647,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,12,0,,401520296,2023,2,6,12,Conference USA,C-USA,True
401525857,s:20~l:23~e:401525857~c:401525857,2023-10-06T04:00Z,0,False,False,True,False,False,2023-10-06T04:00Z,,,1,STD,3646,Boone Pickens Stadium,Stillwater,OK,55509.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/6 - TBD,TBD,4,197,s:20~l:23~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Cowboys,ff6500,000000,True,3646,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,4,0,,2306,s:20~l:23~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Wildcats,633194,e7d2ad,True,3636,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,4,0,,401525857,2023,2,6,4,Big 12 Conference,Big 12,True
401520298,s:20~l:23~e:401520298~c:401520298,2023-10-07T04:00Z,0,False,False,False,False,False,2023-10-07T04:00Z,,,1,STD,3841,Michie Stadium,West Point,NY,38000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,349,s:20~l:23~t:349,Army,Black Knights,ARMY,Army Black Knights,Black Knights,ce9c00,231f20,True,3841,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,18,0,,103,s:20~l:23~t:103,Boston College,Eagles,BC,Boston College Eagles,Eagles,8c2232,dbcca6,True,3615,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,1,0,,401520298,2023,2,6,,,,
401520300,s:20~l:23~e:401520300~c:401520300,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3917,Sanford Stadium,Athens,GA,92746.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,61,s:20~l:23~t:61,Georgia,Bulldogs,UGA,Georgia Bulldogs,Bulldogs,CC0000,000000,True,3917,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,8,0,,96,s:20~l:23~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Wildcats,005DAA,ffffff,True,3683,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,8,0,,401520300,2023,2,6,8,Southeastern Conference,SEC,True
401520302,s:20~l:23~e:401520302~c:401520302,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3793,Kinnick Stadium,Iowa City,IA,69250.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,2294,s:20~l:23~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Hawkeyes,000000,fcd116,True,3793,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,5,0,,2509,s:20~l:23~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Boilermakers,000000,cfb991,True,3907,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,5,0,,401520302,2023,2,6,5,Big Ten Conference,Big Ten,True
401520305,s:20~l:23~e:401520305~c:401520305,2023-10-07T04:00Z,0,False,False,True,False,False,2023-10-07T04:00Z,,,1,STD,3838,Memorial Stadium/Faurot Field,Columbia,MO,62621.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,142,s:20~l:23~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Tigers,f1b82d,000000,True,3838,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,8,0,,99,s:20~l:23~t:99,LSU,Tigers,LSU,LSU Tigers,Tigers,461d7c,fdd023,True,3958,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,8,0,,401520305,2023,2,6,8,Southeastern Conference,SEC,True
401520306,s:20~l:23~e:401520306~c:401520306,2023-10-07T04:00Z,0,False,False,False,False,False,2023-10-07T04:00Z,,,1,STD,3911,Ryan Field,Evanston,IL,47130.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,10/7 - TBD,TBD,4,77,s:20~l:23~t:77,Northwestern,Wildcats,NU,Northwestern Wildcats,Wildcats,582c83,ffffff,True,3911,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,5,0,,47,s:20~l:23~t:47,Howard,Bison,HOW,Howard Bison,Bison,003a63,e51937,True,3990,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,24,0,,401520306,2023,2,6,,,,
