id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,tickets,start_date,odds,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,groups_id,groups_name,groups_short_name,groups_is_conference
401403853,s:20~l:23~e:401403853~c:401403853,2022-08-28T02:30Z,0,True,False,False,False,[],,2022-08-28T02:30Z,"[{'provider': {'id': '45', 'name': 'Caesars Sportsbook (New Jersey)', 'priority': 1}, 'details': 'VAN -6.5', 'overUnder': 55.0}]",1,STD,7220,Clarence T.C. Ching Athletics Complex,Honolulu,HI,9000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, August 27th at 10:30 PM EDT",8/27 - 10:30 PM EDT,4,62,s:20~l:23~t:62,Hawai'i,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Rainbow Warriors,003420,ffffff,True,3610,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,17,238,s:20~l:23~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Commodores,000000,231f20,True,3973,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,8,401403853,2022,2,,,,
401416568,s:20~l:23~e:401416568~c:401416568,2022-09-01T22:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $17', 'numberAvailable': 43, 'links': [{'href': 'https://www.vividseats.com/ncaaf/akron-zips-tickets/akron-9-1-3861971.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/infocision-stadium-_-summa-field-tickets.html?wsUser=717'}]}]",2022-09-01T22:00Z,,1,STD,3768,InfoCision Stadium,Akron,OH,30000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 6:00 PM EDT",9/1 - 6:00 PM EDT,4,2006,s:20~l:23~t:2006,Akron,Zips,AKR,Akron Zips,Zips,00285e,84754e,True,3768,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,15,2598,s:20~l:23~t:2598,St. Francis (PA),Red Flash,SFPA,St. Francis (PA) Red Flash,Red Flash,a20012,,True,,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,25,401416568,2022,2,,,,
401403864,s:20~l:23~e:401403864~c:401403864,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $15', 'numberAvailable': 3786, 'links': [{'href': 'https://www.vividseats.com/ncaaf/tennessee-vols-tickets/tennessee-9-3-3784218.html?wsUser=717'}, {'href': 'https://www.vividseats.com/neyland-stadium-tickets/venue/1199?wsUser=717'}]}]",2022-09-01T23:00Z,"[{'provider': {'id': '45', 'name': 'Caesars Sportsbook (New Jersey)', 'priority': 1}, 'details': 'TENN -31.5', 'overUnder': 68.0}]",1,STD,3853,Neyland Stadium,Knoxville,TN,102455.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,2633,s:20~l:23~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Volunteers,EE9627,ffffff,True,3853,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,8,2050,s:20~l:23~t:2050,Ball State,Cardinals,BALL,Ball State Cardinals,Cardinals,DA0000,ffffff,True,3919,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,15,401403864,2022,2,,,,
401411092,s:20~l:23~e:401411092~c:401411092,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $92', 'numberAvailable': 1035, 'links': [{'href': 'https://www.vividseats.com/ncaaf/pittsburgh-panthers-tickets/pitt-9-3-3837216.html?wsUser=717'}, {'href': 'https://www.vividseats.com/heinz-field-tickets/venue/1702?wsUser=717'}]}]",2022-09-01T23:00Z,"[{'provider': {'id': '45', 'name': 'Caesars Sportsbook (New Jersey)', 'priority': 1}, 'details': 'PITT -6.5', 'overUnder': 54.0}]",1,STD,3752,Acrisure Stadium,Pittsburgh,PA,68400.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,221,s:20~l:23~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Panthers,003263,231f20,True,3752,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,1,277,s:20~l:23~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,Mountaineers,FFC600,eaaa00,True,3842,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,4,401411092,2022,2,,,,
401415610,s:20~l:23~e:401415610~c:401415610,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $6', 'numberAvailable': 2585, 'links': [{'href': 'https://www.vividseats.com/ncaaf/ucf-knights-tickets/ucf-9-1-3869294.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/fbc-mortgage-stadium-tickets.html?wsUser=717'}]}]",2022-09-01T23:00Z,,1,STD,3652,Bounce House,Orlando,FL,44206.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,2116,s:20~l:23~t:2116,UCF,Knights,UCF,UCF Knights,Knights,000000,231f20,True,3652,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,151,2569,s:20~l:23~t:2569,South Carolina State,Bulldogs,SCST,South Carolina State Bulldogs,Bulldogs,7d1315,104897,True,3864,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,24,401415610,2022,2,,,,
401416569,s:20~l:23~e:401416569~c:401416569,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $19', 'numberAvailable': 1270, 'links': [{'href': 'https://www.vividseats.com/ncaaf/oklahoma-state-cowboys-tickets/oklahoma-state-9-3-3798208.html?wsUser=717'}, {'href': 'https://www.vividseats.com/boone-pickens-stadium-tickets/venue/2558?wsUser=717'}]}]",2022-09-01T23:00Z,"[{'provider': {'id': '45', 'name': 'Caesars Sportsbook (New Jersey)', 'priority': 1}, 'details': 'OKST -21.0', 'overUnder': 58.0}]",1,STD,3646,Boone Pickens Stadium,Stillwater,OK,55509.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,197,s:20~l:23~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Cowboys,FF6500,ff9900,True,3646,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,4,2117,s:20~l:23~t:2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,Chippewas,6a0032,ffffff,True,3786,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,15,401416569,2022,2,,,,
401426533,s:20~l:23~e:401426533~c:401426533,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $16', 'numberAvailable': 78, 'links': [{'href': 'https://www.vividseats.com/ncaaf/florida-international-panthers-tickets/fiu-9-1-3890891.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/riccardo-silva-stadium-tickets.html?wsUser=717'}]}]",2022-09-01T23:00Z,,1,STD,218,Riccardo Silva Stadium,Miami,FL,20000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,2229,s:20~l:23~t:2229,Florida International,Panthers,FIU,Florida International Panthers,Panthers,001538,c5960c,True,218,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,12,2803,s:20~l:23~t:2803,Bryant,Bulldogs,BRY,Bryant Bulldogs,Bulldogs,000000,9f8343,True,3661,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,40,401426533,2022,2,,,,
401441990,s:20~l:23~e:401441990~c:401441990,2022-09-01T23:00Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $19', 'numberAvailable': 174, 'links': [{'href': 'https://www.vividseats.com/ncaaf/toledo-rockets-tickets/toledo-9-3-3862038.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/glass-bowl-stadium-tickets.html?wsUser=717'}]}]",2022-09-01T23:00Z,,1,STD,3739,Glass Bowl,Toledo,OH,26038.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:00 PM EDT",9/1 - 7:00 PM EDT,4,2649,s:20~l:23~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Rockets,ffffff,ffd51d,True,3739,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,15,112358,s:20~l:23~t:112358,Long Island University,Sharks,LIU,Long Island University Sharks,Sharks,,,True,6043,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,25,401441990,2022,2,,,,
401411093,s:20~l:23~e:401411093~c:401411093,2022-09-01T23:30Z,0,True,False,False,False,[],"[{'summary': 'Tickets as low as $14', 'numberAvailable': 806, 'links': [{'href': 'https://www.vividseats.com/ncaaf/wake-forest-demon-deacons-tickets/wake-forest-vs-vmi-9-1-3813758.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/truist-field-at-wake-forest-tickets.html?wsUser=717'}]}]",2022-09-01T23:30Z,,1,STD,3630,Truist Field,Winston-Salem,NC,31500.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 7:30 PM EDT",9/1 - 7:30 PM EDT,4,154,s:20~l:23~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Demon Deacons,9E7E38,000000,True,3630,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,1,2678,s:20~l:23~t:2678,VMI,Keydets,VMI,VMI Keydets,Keydets,E52D37,eec52b,True,3597,https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,29,401411093,2022,2,,,,
401405064,s:20~l:23~e:401405064~c:401405064,2022-09-02T00:00Z,0,True,False,True,False,[],"[{'summary': 'Tickets as low as $29', 'numberAvailable': 2873, 'links': [{'href': 'https://www.vividseats.com/ncaaf/purdue-boilermakers-tickets/purdue-9-3-3765756.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/ross_ade-stadium-tickets.html?wsUser=717'}]}]",2022-09-02T00:00Z,"[{'provider': {'id': '45', 'name': 'Caesars Sportsbook (New Jersey)', 'priority': 1}, 'details': 'PSU -3.5', 'overUnder': 54.5}]",1,STD,3907,Ross-Ade Stadium,West Lafayette,IN,57282.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Thu, September 1st at 8:00 PM EDT",9/1 - 8:00 PM EDT,4,2509,s:20~l:23~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Boilermakers,B89D29,a4a9ad,True,3907,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,5,213,s:20~l:23~t:213,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Nittany Lions,00265D,002e5c,True,3632,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,5,401405064,2022,2,5,Big Ten Conference,Big Ten,True
